# Class	Pfam Accession	Family	Summary
# 
Other Biosynthetic	PF02666		Phosphatidylserine decarboxylase
Other Biosynthetic	PF03162		Tyrosine phosphatase family
Other Biosynthetic	PF04131		Putative N-acetylmannosamine-6-phosphate epimerase
Other Biosynthetic	PF07895		Protein of unknown function (DUF1673)
Other Biosynthetic	PF03170		Bacterial cellulose synthase subunit
Other Biosynthetic	PF08007		Cupin superfamily protein
Other Biosynthetic	PF10031		Small integral membrane protein (DUF2273)
Other Biosynthetic	PF07799		Protein of unknown function (DUF1643)
Other Biosynthetic	PF10935		Protein of unknown function (DUF2637)
Other Biosynthetic	PF11284		Protein of unknown function (DUF3085)
Other Biosynthetic	PF03959		Serine hydrolase (FSH1)
Other Biosynthetic	PF01171		PP-loop family
Other Biosynthetic	PF01116		Fructose-bisphosphate aldolase class-II
Other Biosynthetic	PF04237		Protein of unknown function (DUF419)
Other Biosynthetic	PF01702		Queuine tRNA-ribosyltransferase
Other Biosynthetic	PF06999		Sucrase/ferredoxin-like
Other Biosynthetic	PF00290		Tryptophan synthase alpha chain
Other Biosynthetic	PF03215		Rad17 cell cycle checkpoint protein
Other Biosynthetic	PF02615		Malate/L-lactate dehydrogenase
Other Biosynthetic	PF08123		Histone methylation protein DOT1
Other Biosynthetic	PF09352		Domain of unknown function (DUF1994)
Other Biosynthetic	PF02782		FGGY family of carbohydrate kinases, C-terminal domain
Other Biosynthetic	PF03186		CobD/Cbib protein
Other Biosynthetic	PF01120		Alpha-L-fucosidase
Other Biosynthetic	PF05139		Erythromycin esterase
Other Biosynthetic	PF02656		Domain of unknown function DUF
Other Biosynthetic	PF05187		Electron transfer flavoprotein-ubiquinone oxidoreductase
Other Biosynthetic	PF00703		domain
Other Biosynthetic	PF07732		Multicopper oxidase
Other Biosynthetic	PF10776		Protein of unknown function (DUF2600)
Other Biosynthetic	PF11847		Domain of unknown function (DUF3367)
Other Biosynthetic	PF01835		MG2 domain
Other Biosynthetic	PF02416		mttA/Hcf106 family
Other Biosynthetic	PF10738		Probable lipoprotein LpqN
Other Biosynthetic	PF04307		Predicted membrane-bound metal-dependent hydrolase (DUF457)
Other Biosynthetic	PF10696		Protein of unknown function (DUF2501)
Other Biosynthetic	PF08223		PaaX-like protein C-terminal domain
Other Biosynthetic	PF03284		Phenazine biosynthesis protein A/B
Other Biosynthetic	PF10861		Protein of Unknown function (DUF2784)
Other Biosynthetic	PF07394		Protein of unknown function (DUF1501)
Other Biosynthetic	PF09317		Domain of unknown function (DUF1974)
Other Biosynthetic	PF11804		Protein of unknown function (DUF3325)
Other Biosynthetic	PF01640		Peptidase C10 family
Other Biosynthetic	PF01453		D-mannose binding lectin
Other Biosynthetic	PF06242		Protein of unknown function (DUF1013)
Other Biosynthetic	PF02885		Glycosyl transferase family, helical bundle domain
Other Biosynthetic	PF08962		Domain of unknown function (DUF1876)
Other Biosynthetic	PF00982		Glycosyltransferase family 20
Other Biosynthetic	PF07731		Multicopper oxidase
Other Biosynthetic	PF10078		Uncharacterized protein conserved in bacteria (DUF2316)
Other Biosynthetic	PF10100		Uncharacterized protein conserved in bacteria (DUF2338)
Other Biosynthetic	PF03423		Carbohydrate binding domain (family 25)
Other Biosynthetic	PF02012		BNR/Asp-box repeat
Other Biosynthetic	PF09290		Prokaryotic acetaldehyde dehydrogenase, dimerisation
Other Biosynthetic	PF06568		Domain of unknown function (DUF1127)
Other Biosynthetic	PF06039		Malate quinone oxidoreductase (Mqo)
Other Biosynthetic	PF01633		Choline/ethanolamine kinase
Other Biosynthetic	PF11236		Protein of unknown function (DUF3037)
Other Biosynthetic	PF11363		Protein of unknown function (DUF3164)
Other Biosynthetic	PF11361		Protein of unknown function (DUF3159)
Other Biosynthetic	PF10988		Protein of unknown function (DUF2807)
Other Biosynthetic	PF10983		Protein of unknown function (DUF2793)
Other Biosynthetic	PF12261		Thermostable hemolysin
Other Biosynthetic	PF03417		Acyl-coenzyme A 6-aminopenicillanic acid acyl-transferase
Other Biosynthetic	PF02613		Nitrate reductase delta subunit
Other Biosynthetic	PF03967		Photosynthetic reaction centre, H-chain N-terminal region
Other Biosynthetic	PF05534		HicB family
Other Biosynthetic	PF01238		Phosphomannose isomerase type I
Other Biosynthetic	PF06224		Protein of unknown function (DUF1006)
Other Biosynthetic	PF12161		HsdM N-terminal domain
Other Biosynthetic	PF03573		outer membrane porin, OprD family
Other Biosynthetic	PF02557		D-alanyl-D-alanine carboxypeptidase
Other Biosynthetic	PF01874		ATP dephospho-CoA triphosphoribosyl transferase
Other Biosynthetic	PF11182		Alginate O-acetyl transferase AlgF
Other Biosynthetic	PF01264		Chorismate synthase
Other Biosynthetic	PF09361		Phasin protein
Other Biosynthetic	PF10969		Protein of unknown function (DUF2771)
Other Biosynthetic	PF06576		Protein of unknown function (DUF1133)
Other Biosynthetic	PF07178		TraL protein
Other Biosynthetic	PF10938		YfdX protein
Other Biosynthetic	PF12536		Patatin phospholipase
Other Biosynthetic	PF04604		Type-A lantibiotic
Other Biosynthetic	PF04763		Protein of unknown function (DUF562)
Other Biosynthetic	PF11974		Alpha-2-macroglobulin MG1 domain
Other Biosynthetic	PF03352		Methyladenine glycosylase
Other Biosynthetic	PF08447		PAS fold
Other Biosynthetic	PF08862		Domain of unknown function DUF1829
Other Biosynthetic	PF07691		PA14 domain
Other Biosynthetic	PF11142		Protein of unknown function (DUF2917)
Other Biosynthetic	PF00570		HRDC domain
Other Biosynthetic	PF05309		TraE protein
Other Biosynthetic	PF02052		Gallidermin
Other Biosynthetic	PF11873		Domain of unknown function (DUF3393)
Other Biosynthetic	PF00694		Aconitase C-terminal domain
Other Biosynthetic	PF01344		Kelch motif
Other Biosynthetic	PF10825		Protein of unknown function (DUF2752)
Other Biosynthetic	PF05853		Prokaryotic protein of unknown function (DUF849)
Other Biosynthetic	PF01435		Peptidase family M48
Other Biosynthetic	PF06496		Protein of unknown function (DUF1097)
Other Biosynthetic	PF03714		Bacterial pullanase-associated domain
Other Biosynthetic	PF11021		Protein of unknown function (DUF2613)
Other Biosynthetic	PF11752		Protein of unknown function (DUF3309)
Other Biosynthetic	PF05988		Bacterial protein of unknown function (DUF899)
Other Biosynthetic	PF01471		Putative peptidoglycan binding domain
Other Biosynthetic	PF11774		Lsr2
Other Biosynthetic	PF04016		Domain of unknown function (DUF364)
Other Biosynthetic	PF11769		Protein of unknown function (DUF3313)
Other Biosynthetic	PF08332		Calcium/calmodulin dependent protein kinase II Association
Other Biosynthetic	PF02142		MGS-like domain
Other Biosynthetic	PF10815		ComZ
Other Biosynthetic	PF02016		LD-carboxypeptidase
Other Biosynthetic	PF12083		Domain of unknown function (DUF3560)
Other Biosynthetic	PF09445		RNA cap guanine-N2 methyltransferase
Other Biosynthetic	PF01433		Peptidase family M1
Other Biosynthetic	PF01817		Chorismate mutase type II
Other Biosynthetic	PF08943		CsiD
Other Biosynthetic	PF01964		ThiC family
Other Biosynthetic	PF11292		Protein of unknown function (DUF3093)
Other Biosynthetic	PF06925		Monogalactosyldiacylglycerol (MGDG) synthase
Other Biosynthetic	PF04746		Protein of unknown function (DUF575)
Other Biosynthetic	PF05704		Capsular polysaccharide synthesis protein
Other Biosynthetic	PF06570		Protein of unknown function (DUF1129)
Other Biosynthetic	PF08433		Chromatin associated protein KTI12
Other Biosynthetic	PF07963		Prokaryotic N-terminal methylation motif
Other Biosynthetic	PF06381		Protein of unknown function (DUF1073)
Other Biosynthetic	PF12535		Hydrolase of X-linked nucleoside diphosphate N terminal
Other Biosynthetic	PF11927		Protein of unknown function (DUF3445)
Other Biosynthetic	PF05426		Alginate lyase
Other Biosynthetic	PF04480		Protein of unknown function (DUF559)
Other Biosynthetic	PF02628		Cytochrome oxidase assembly protein
Other Biosynthetic	PF07105		Protein of unknown function (DUF1367)
Other Biosynthetic	PF02516		Oligosaccharyl transferase STT3 subunit
Other Biosynthetic	PF02773		S-adenosylmethionine synthetase, C-terminal domain
Other Biosynthetic	PF02772		S-adenosylmethionine synthetase, central domain
Other Biosynthetic	PF05173		Dihydrodipicolinate reductase, C-terminus
Other Biosynthetic	PF01676		Metalloenzyme superfamily
Other Biosynthetic	PF07848		PaaX-like protein
Other Biosynthetic	PF00920		Dehydratase family
Other Biosynthetic	PF07908		D-aminoacylase, C-terminal region
Other Biosynthetic	PF00781		Diacylglycerol kinase catalytic domain
Other Biosynthetic	PF00361		NADH-Ubiquinone/plastoquinone (complex I), various chains
Other Biosynthetic	PF01848		Hok/gef family
Other Biosynthetic	PF09837		Uncharacterized protein conserved in bacteria (DUF2064)
Other Biosynthetic	PF10801		Protein of unknown function (DUF2537)
Other Biosynthetic	PF11196		Protein of unknown function (DUF2834)
Other Biosynthetic	PF00172		Fungal Zn(2)-Cys(6) binuclear cluster domain
Other Biosynthetic	PF00353		Hemolysin-type calcium-binding repeat (2 copies)
Other Biosynthetic	PF00438		S-adenosylmethionine synthetase, N-terminal domain
Other Biosynthetic	PF03180		NLPA lipoprotein
Other Biosynthetic	PF06983		3-demethylubiquinone-9 3-methyltransferase
Other Biosynthetic	PF00403		Heavy-metal-associated domain
Other Biosynthetic	PF01292		Prokaryotic cytochrome b561
Other Biosynthetic	PF01361		Tautomerase enzyme
Other Biosynthetic	PF11251		Protein of unknown function (DUF3050)
Other Biosynthetic	PF06966		Protein of unknown function (DUF1295)
Other Biosynthetic	PF02806		Alpha amylase, C-terminal all-beta domain
Other Biosynthetic	PF08402		TOBE domain
Other Biosynthetic	PF04606		Ogr/Delta-like zinc finger
Other Biosynthetic	PF08898		Domain of unknown function (DUF1843)
Other Biosynthetic	PF11230		Protein of unknown function (DUF3029)
Other Biosynthetic	PF07833		Copper amine oxidase N-terminal domain
Other Biosynthetic	PF02622		Uncharacterized ACR, COG1678
Other Biosynthetic	PF05575		Vibrio cholerae RfbT protein
Other Biosynthetic	PF06262		Domain of unknown function (DUF1025)
Other Biosynthetic	PF02638		Uncharacterised BCR, COG1649
Other Biosynthetic	PF02743		Cache domain
Other Biosynthetic	PF06455		NADH dehydrogenase subunit 5 C-terminus
Other Biosynthetic	PF12464		Maltose acetyltransferase
Other Biosynthetic	PF02999		Borrelia orf-D family
Other Biosynthetic	PF06463		Molybdenum Cofactor Synthesis C
Other Biosynthetic	PF00488		MutS domain V
Other Biosynthetic	PF00723		Glycosyl hydrolases family 15
Other Biosynthetic	PF10708		Protein of unknown function (DUF2510)
Other Biosynthetic	PF08533		Beta-galactosidase C-terminal domain
Other Biosynthetic	PF04486		SchA/CurD like domain
Other Biosynthetic	PF01947		Protein of unknown function (DUF98)
Other Biosynthetic	PF02897		Prolyl oligopeptidase, N-terminal beta-propeller domain
Other Biosynthetic	PF00215		Orotidine 5'-phosphate decarboxylase / HUMPS family
Other Biosynthetic	PF09940		Domain of unknown function (DUF2172)
Other Biosynthetic	PF05653		Protein of unknown function (DUF803)
Other Biosynthetic	PF02055		O-Glycosyl hydrolase family 30
Other Biosynthetic	PF08012		Protein of unknown function (DUF1702)
Other Biosynthetic	PF01578		Cytochrome C assembly protein
Other Biosynthetic	PF06103		Bacterial protein of unknown function (DUF948)
Other Biosynthetic	PF12502		Protein of unknown function (DUF3710)
Other Biosynthetic	PF05140		ResB-like family
Other Biosynthetic	PF07102		Protein of unknown function (DUF1364)
Other Biosynthetic	PF02002		TFIIE alpha subunit
Other Biosynthetic	PF07991		Acetohydroxy acid isomeroreductase, catalytic domain
Other Biosynthetic	PF00258		Flavodoxin
Other Biosynthetic	PF07374		Protein of unknown function (DUF1492)
Other Biosynthetic	PF10060		Uncharacterized membrane protein (DUF2298)
Other Biosynthetic	PF04234		Copper resistance protein CopC
Other Biosynthetic	PF06146		Phosphate-starvation-inducible E
Other Biosynthetic	PF12227		Protein of unknown function (DUF3603)
Other Biosynthetic	PF08667		BetR domain
Other Biosynthetic	PF12077		Transmembrane protein of unknown function (DUF3556)
Other Biosynthetic	PF11994		Protein of unknown function (DUF3489)
Other Biosynthetic	PF02839		Carbohydrate binding domain
Other Biosynthetic	PF00854		POT family
Other Biosynthetic	PF02575		Uncharacterised BCR, YbaB family COG0718
Other Biosynthetic	PF11384		Protein of unknown function (DUF3188)
Other Biosynthetic	PF00490		Delta-aminolevulinic acid dehydratase
Other Biosynthetic	PF11158		Protein of unknown function (DUF2938)
Other Biosynthetic	PF02662		Methyl-viologen-reducing hydrogenase, delta subunit
Other Biosynthetic	PF02367		Uncharacterised P-loop hydrolase UPF0079
Other Biosynthetic	PF12367		Pyruvate ferredoxin oxidoreductase beta subunit C terminal
Other Biosynthetic	PF00800		Prephenate dehydratase
Other Biosynthetic	PF00207		Alpha-2-macroglobulin family
Other Biosynthetic	PF07902		gp58-like protein
Other Biosynthetic	PF09948		Predicted metal-binding integral membrane protein (DUF2182)
Other Biosynthetic	PF11737		Protein of unknown function (DUF3300)
Other Biosynthetic	PF06742		Protein of unknown function (DUF1214)
Other Biosynthetic	PF00765		Autoinducer synthetase
Other Biosynthetic	PF05103		DivIVA protein
Other Biosynthetic	PF04434		SWIM zinc finger
Other Biosynthetic	PF05067		Manganese containing catalase
Other Biosynthetic	PF10094		Uncharacterized protein conserved in bacteria (DUF2332)
Other Biosynthetic	PF01255		Putative undecaprenyl diphosphate synthase
Other Biosynthetic	PF01658		Myo-inositol-1-phosphate synthase
Other Biosynthetic	PF05974		Domain of unknown function (DUF892)
Other Biosynthetic	PF03434		DUF276
Other Biosynthetic	PF01152		Bacterial-like globin
Other Biosynthetic	PF01329		Pterin 4 alpha carbinolamine dehydratase
Other Biosynthetic	PF00328		Histidine acid phosphatase
Other Biosynthetic	PF10971		Protein of unknown function (DUF2773)
Other Biosynthetic	PF01987		Protein of unknown function DUF124
Other Biosynthetic	PF04127		DNA / pantothenate metabolism flavoprotein
Other Biosynthetic	PF11783		Cytochrome c bacterial
Other Biosynthetic	PF10944		Protein of unknown function (DUF2630)
Other Biosynthetic	PF04241		Protein of unknown function (DUF423)
Other Biosynthetic	PF03304		Mlp lipoprotein family
Other Biosynthetic	PF10007		Uncharacterized protein conserved in archaea (DUF2250)
Other Biosynthetic	PF11143		Protein of unknown function (DUF2919)
Other Biosynthetic	PF03099		Biotin/lipoate A/B protein ligase family
Other Biosynthetic	PF04993		TfoX N-terminal domain
Other Biosynthetic	PF00697		N-(5'phosphoribosyl)anthranilate (PRA) isomerase
Other Biosynthetic	PF09862		Protein of unknown function(DUF2089)
Other Biosynthetic	PF08980		Domain of unknown function (DUF1883)
Other Biosynthetic	PF02276		Photosynthetic reaction centre cytochrome C subunit
Other Biosynthetic	PF03196		Protein of unknown function, DUF261
Other Biosynthetic	PF07994		Myo-inositol-1-phosphate synthase
Other Biosynthetic	PF03059		Nicotianamine synthase protein
Other Biosynthetic	PF02322		Cytochrome oxidase subunit II
Other Biosynthetic	PF00268		Ribonucleotide reductase, small chain
Other Biosynthetic	PF08929		Domain of unknown function (DUF1911)
Other Biosynthetic	PF10616		Protein of unknown function (DUF2471)
Other Biosynthetic	PF00717		Peptidase S24-like
Other Biosynthetic	PF11353		Protein of unknown function (DUF3153)
Other Biosynthetic	PF06724		Domain of Unknown Function (DUF1206)
Other Biosynthetic	PF08840		BAAT / Acyl-CoA thioester hydrolase C terminal
Other Biosynthetic	PF05085		Protein of unknown function (DUF685)
Other Biosynthetic	PF07953		Clostridium neurotoxin, N-terminal receptor binding
Other Biosynthetic	PF01894		Uncharacterised protein family UPF0047
Other Biosynthetic	PF04366		Family of unknown function (DUF500)
Other Biosynthetic	PF10759		Protein of unknown function (DUF2587)
Other Biosynthetic	PF07291		Methylamine utilisation protein MauE
Other Biosynthetic	PF01519		Protein of unknown function DUF16
Other Biosynthetic	PF09712		Poly(R)-hydroxyalkanoic acid synthase subunit (PHA_synth_III_E)
Other Biosynthetic	PF01184		GPR1/FUN34/yaaH family
Other Biosynthetic	PF01450		Acetohydroxy acid isomeroreductase, catalytic domain
Other Biosynthetic	PF03744		6-carboxyhexanoate--CoA ligase
Other Biosynthetic	PF00498		FHA domain
Other Biosynthetic	PF10397		Adenylosuccinate lyase C-terminus
Other Biosynthetic	PF06228		ChuX-like family
Other Biosynthetic	PF01229		Glycosyl hydrolases family 39
Other Biosynthetic	PF09843		Predicted membrane protein (DUF2070)
Other Biosynthetic	PF06124		Staphylococcal protein of unknown function (DUF960)
Other Biosynthetic	PF01145		SPFH domain / Band 7 family
Other Biosynthetic	PF07660		Secretin and TonB N terminus short domain
Other Biosynthetic	PF01564		Spermine/spermidine synthase
Other Biosynthetic	PF06339		Ectoine synthase
Other Biosynthetic	PF01165		Ribosomal protein S21
Other Biosynthetic	PF01742		Clostridial neurotoxin zinc protease
Other Biosynthetic	PF08759		Domain of unknown function (DUF1792)
Other Biosynthetic	PF07423		Protein of unknown function (DUF1510)
Other Biosynthetic	PF10589		NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
Other Biosynthetic	PF12034		Domain of unknown function (DUF3520)
Other Biosynthetic	PF11932		Protein of unknown function (DUF3450)
Other Biosynthetic	PF10042		Uncharacterized conserved protein (DUF2278)
Other Biosynthetic	PF03538		Salmonella virulence plasmid 28.1kDa A protein
Other Biosynthetic	PF03994		Domain of Unknown Function (DUF350)
Other Biosynthetic	PF05448		Acetyl xylan esterase (AXE1)
Other Biosynthetic	PF05116		Sucrose-6F-phosphate phosphohydrolase
Other Biosynthetic	PF01487		Type I 3-dehydroquinase
Other Biosynthetic	PF01619		Proline dehydrogenase
Other Biosynthetic	PF04401		Protein of unknown function (DUF540)
Other Biosynthetic	PF00254		FKBP-type peptidyl-prolyl cis-trans isomerase
Other Biosynthetic	PF05430		Protein of unknown function (DUF752)
Other Biosynthetic	PF05425		Copper resistance protein D
Other Biosynthetic	PF07702		UTRA domain
Other Biosynthetic	PF11346		Protein of unknown function (DUF3149)
Other Biosynthetic	PF07115		Protein of unknown function (DUF1371)
Other Biosynthetic	PF01441		Lipoprotein
Other Biosynthetic	PF11178		Protein of unknown function (DUF2963)
Other Biosynthetic	PF07094		Protein of unknown function (DUF1357)
Other Biosynthetic	PF01106		NifU-like domain
Other Biosynthetic	PF09537		Domain of unknown function (DUF2383)
Other Biosynthetic	PF04448		Protein of unknown function (DUF551)
Other Biosynthetic	PF04015		Domain of unknown function (DUF362)
Other Biosynthetic	PF08940		Domain of unknown function (DUF1918)
Other Biosynthetic	PF10737		Spore germination protein GerPC
Other Biosynthetic	PF05014		Nucleoside 2-deoxyribosyltransferase
Other Biosynthetic	PF06597		Clostridium P-47 protein
Other Biosynthetic	PF08928		Domain of unknown function (DUF1910)
Other Biosynthetic	PF02868		Thermolysin metallopeptidase, alpha-helical domain
Other Biosynthetic	PF05113		Protein of unknown function (DUF693)
Other Biosynthetic	PF08359		YsiA-like protein, C-terminal region
Other Biosynthetic	PF07191		Protein of unknown function (DUF1407)
Other Biosynthetic	PF05738		Cna protein B-type domain
Other Biosynthetic	PF10881		Protein of unknown function (DUF2726)
Other Biosynthetic	PF08481		GBS Bsp-like repeat
Other Biosynthetic	PF00667		FAD binding domain
Other Biosynthetic	PF07705		CARDB
Other Biosynthetic	PF06723		MreB/Mbl protein
Other Biosynthetic	PF03664		Glycosyl hydrolase family 62
Other Biosynthetic	PF02541		Ppx/GppA phosphatase family
Other Biosynthetic	PF10750		Protein of unknown function (DUF2536)
Other Biosynthetic	PF03916		Polysulphide reductase, NrfD
Other Biosynthetic	PF00704		Glycosyl hydrolases family 18
Other Biosynthetic	PF11368		Protein of unknown function (DUF3169)
Other Biosynthetic	PF07591		Protein of unknown function (DUF1557)
Other Biosynthetic	PF11821		Protein of unknown function (DUF3341)
Other Biosynthetic	PF07475		HPr Serine kinase C-terminal domain
Other Biosynthetic	PF03972		MmgE/PrpD family
Other Biosynthetic	PF05686		Arabidopsis thaliana protein of unknown function (DUF821)
Other Biosynthetic	PF09265		Cytokinin dehydrogenase 1, FAD and cytokinin binding
Other Biosynthetic	PF11546		Staphylococcal complement inhibitor SCIN
Other Biosynthetic	PF05223		NTF2-like N-terminal transpeptidase domain
Other Biosynthetic	PF07040		Protein of unknown function (DUF1326)
Other Biosynthetic	PF06106		Staphylococcus protein of unknown function (DUF950)
Other Biosynthetic	PF07786		Protein of unknown function (DUF1624)
Other Biosynthetic	PF10929		Protein of unknown function (DUF2811)
Other Biosynthetic	PF11706		CGNR zinc finger
Other Biosynthetic	PF00816		H-NS histone family
Other Biosynthetic	PF07790		Protein of unknown function (DUF1628)
Other Biosynthetic	PF01960		ArgJ family
Other Biosynthetic	PF02126		Phosphotriesterase family
Other Biosynthetic	PF10129		OpgC protein
Other Biosynthetic	PF01011		PQQ enzyme repeat
Other Biosynthetic	PF02065		Melibiase
Other Biosynthetic	PF01341		Glycosyl hydrolases family 6
Other Biosynthetic	PF00232		Glycosyl hydrolase family 1
Other Biosynthetic	PF06772		Bacterial low temperature requirement A protein (LtrA)
Other Biosynthetic	PF11083		Lantibiotic streptin immunity protein
Other Biosynthetic	PF09612		Bacterial protein of unknown function (HtrL_YibB)
Other Biosynthetic	PF05592		Bacterial alpha-L-rhamnosidase
Other Biosynthetic	PF03606		C4-dicarboxylate anaerobic carrier
Other Biosynthetic	PF00728		Glycosyl hydrolase family 20, catalytic domain
Other Biosynthetic	PF00388		Phosphatidylinositol-specific phospholipase C, X domain
Other Biosynthetic	PF06603		Protein of unknown function (DUF1141)
Other Biosynthetic	PF12252		Dot/Icm substrate protein
Other Biosynthetic	PF12071		Protein of unknown function (DUF3551)
Other Biosynthetic	PF11238		Protein of unknown function (DUF3039)
Other Biosynthetic	PF10803		Protein of unknown function (DUF2539)
Other Biosynthetic	PF01274		Malate synthase
Other Biosynthetic	PF02631		RecX family
Other Biosynthetic	PF02632		BioY family
Other Biosynthetic	PF04962		KduI/IolB family
Other Biosynthetic	PF05157		GSPII_E N-terminal domain
Other Biosynthetic	PF00025		ADP-ribosylation factor family
Other Biosynthetic	PF06526		Protein of unknown function (DUF1107)
Other Biosynthetic	PF00852		Glycosyltransferase family 10 (fucosyltransferase)
Other Biosynthetic	PF04134		Protein of unknown function, DUF393
Other Biosynthetic	PF01322		Cytochrome C'
Other Biosynthetic	PF06863		Protein of unknown function (DUF1254)
Other Biosynthetic	PF10970		Protein of unknown function (DUF2772)
Other Biosynthetic	PF11397		Glycosyltransferase (GlcNAc)
Other Biosynthetic	PF01447		Thermolysin metallopeptidase, catalytic domain
Other Biosynthetic	PF06094		AIG2-like family
Other Biosynthetic	PF08022		FAD-binding domain
Other Biosynthetic	PF01300		yrdC domain
Other Biosynthetic	PF11154		Protein of unknown function (DUF2934)
Other Biosynthetic	PF12095		Protein of unknown function (DUF3571)
Other Biosynthetic	PF02787		Carbamoyl-phosphate synthetase large chain, oligomerisation domain
Other Biosynthetic	PF03405		Fatty acid desaturase
Other Biosynthetic	PF04226		Transglycosylase associated protein
Other Biosynthetic	PF02831		gpW
Other Biosynthetic	PF03500		Cellulose synthase subunit D
Other Biosynthetic	PF10756		Protein of unknown function (DUF2581)
Other Biosynthetic	PF00994		Probable molybdopterin binding domain
Other Biosynthetic	PF00692		dUTPase
Other Biosynthetic	PF04198		Putative sugar-binding domain
Other Biosynthetic	PF00188		Cysteine-rich secretory protein family
Other Biosynthetic	PF06779		Protein of unknown function (DUF1228)
Other Biosynthetic	PF04188		Mannosyltransferase (PIG-V))
Other Biosynthetic	PF04723		Glycine reductase complex selenoprotein A
Other Biosynthetic	PF06169		Protein of unknown function (DUF982)
Other Biosynthetic	PF11679		Protein of unknown function (DUF3275)
Other Biosynthetic	PF05561		Borrelia burgdorferi protein of unknown function (DUF764)
Other Biosynthetic	PF05246		Protein of unknown function (DUF735)
Other Biosynthetic	PF07176		Alpha/beta hydrolase of unknown function (DUF1400)
Other Biosynthetic	PF05619		Borrelia burgdorferi protein of unknown function (DUF787)
Other Biosynthetic	PF05057		Putative serine esterase (DUF676)
Other Biosynthetic	PF06037		Bacterial protein of unknown function (DUF922)
Other Biosynthetic	PF08535		KorB domain
Other Biosynthetic	PF00386		C1q domain
Other Biosynthetic	PF08392		FAE1/Type III polyketide synthase-like protein
Other Biosynthetic	PF10862		Protein of unknown function (DUF2662)
Other Biosynthetic	PF09723		Zinc ribbon domain
Other Biosynthetic	PF07128		Protein of unknown function (DUF1380)
Other Biosynthetic	PF03130		PBS lyase HEAT-like repeat
Other Biosynthetic	PF04357		Family of unknown function (DUF490)
Other Biosynthetic	PF10763		Protein of unknown function (DUF2584)
Other Biosynthetic	PF05990		Alpha/beta hydrolase of unknown function (DUF900)
Other Biosynthetic	PF07935		ORF D-335-like protein
Other Biosynthetic	PF07316		Protein of unknown function (DUF1463)
Other Biosynthetic	PF07952		Clostridium neurotoxin, Translocation domain
Other Biosynthetic	PF06080		Protein of unknown function (DUF938)
Other Biosynthetic	PF11278		Protein of unknown function (DUF3079)
Other Biosynthetic	PF09851		Predicted membrane protein (DUF2078)
Other Biosynthetic	PF05344		Domain of Unknown Function (DUF746)
Other Biosynthetic	PF09037		Stf0 sulphotransferase
Other Biosynthetic	PF07884		Vitamin K epoxide reductase family
Other Biosynthetic	PF07082		Protein of unknown function (DUF1350)
Other Biosynthetic	PF10809		Protein of unknown function (DUF2732)
Other Biosynthetic	PF00962		Adenosine/AMP deaminase
Other Biosynthetic	PF04363		Protein of unknown function (DUF496)
Other Biosynthetic	PF06439		Domain of Unknown Function (DUF1080)
Other Biosynthetic	PF11180		Protein of unknown function (DUF2968)
Other Biosynthetic	PF11695		Domain of unknown function (DUF3291)
Other Biosynthetic	PF12035		Protein of unknown function (DUF3521)
Other Biosynthetic	PF10850		Protein of unknown function (DUF2653)
Other Biosynthetic	PF06628		Catalase-related immune-responsive
Other Biosynthetic	PF06172		Cupin superfamily (DUF985)
Other Biosynthetic	PF04209		homogentisate 1,2-dioxygenase
Other Biosynthetic	PF07405		Protein of unknown function (DUF1506)
Other Biosynthetic	PF11336		Protein of unknown function (DUF3138)
Other Biosynthetic	PF01732		Domain of unknown function DUF31
Other Biosynthetic	PF07155		Protein of unknown function (DUF1393)
Other Biosynthetic	PF08896		Domain of unknown function (DUF1842)
Other Biosynthetic	PF05632		Borrelia burgdorferi protein of unknown function (DUF792)
Other Biosynthetic	PF08876		Domain of unknown function (DUF1836)
Other Biosynthetic	PF07341		Protein of unknown function (DUF1473)
Other Biosynthetic	PF00394		Multicopper oxidase
Other Biosynthetic	PF00295		Glycosyl hydrolases family 28
Other Biosynthetic	PF00292		'Paired box' domain
Other Biosynthetic	PF02830		V4R domain
Other Biosynthetic	PF07032		Protein of unknown function (DUF1322)
Other Biosynthetic	PF07212		Hyaluronidase protein (HylP)
Other Biosynthetic	PF01694		Rhomboid family
Other Biosynthetic	PF05995		Cysteine dioxygenase type I
Other Biosynthetic	PF05991		Protein of unknown function (DUF901)
Other Biosynthetic	PF01219		Prokaryotic diacylglycerol kinase
Other Biosynthetic	PF01520		N-acetylmuramoyl-L-alanine amidase
Other Biosynthetic	PF04645		Protein of unknown function, DUF603
Other Biosynthetic	PF07519		Tannase and feruloyl esterase
Other Biosynthetic	PF11776		Domain of unknown function (DUF3315)
Other Biosynthetic	PF11391		Protein of unknown function (DUF2798)
Other Biosynthetic	PF00557		Metallopeptidase family M24
Other Biosynthetic	PF11019		Protein of unknown function (DUF2608)
Other Biosynthetic	PF03112		Uncharacterized protein family (ORF7) DUF
Other Biosynthetic	PF04240		Protein of unknown function (DUF422)
Other Biosynthetic	PF10370		Domain of unknown function (DUF2437)
Other Biosynthetic	PF08922		Domain of unknown function (DUF1905)
Other Biosynthetic	PF01709		Domain of unknown function DUF28
Other Biosynthetic	PF04325		Protein of unknown function (DUF465)
Other Biosynthetic	PF11446		Protein of unknown function (DUF2897)
Other Biosynthetic	PF11144		Protein of unknown function (DUF2920)
Other Biosynthetic	PF03096		Ndr family
